time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.009835,0.197413,-0.310027,-0.035435
0.030213,0.123235,-0.163978,-0.016855
0.060248,0.045464,-0.110032,0.014459
0.090283,-0.009054,-0.073919,0.008543
0.130330,-0.068918,-0.045261,-0.007913
0.160366,-0.136016,-0.012569,0.009558
0.190400,-0.116809,0.000253,0.029513
0.230448,-0.000438,-0.040978,0.052926
0.260483,0.085922,-0.068343,0.056469
0.290519,0.023948,-0.046096,0.036854
0.330566,-0.183371,-0.028167,0.069208
0.360601,-0.117468,-0.007548,0.080321
0.390636,-0.050711,0.061140,0.104126
0.430684,-0.075259,0.108961,0.135014
0.460719,-0.030752,0.115734,0.116665
0.490754,-0.066883,0.070815,0.082029
0.530801,-0.164949,-0.028505,-0.034663
0.560837,-0.312332,-0.093565,-0.023953
0.590871,-0.359148,-0.177726,0.051573
0.630919,-0.181945,-0.082740,0.072375
0.660954,-0.213549,-0.018416,0.021821
0.690990,-0.133824,0.034207,0.060341
0.731037,0.160264,0.270398,0.188156
0.761072,0.491073,0.323289,0.232073
0.791107,0.631058,0.362728,0.205548
0.831154,0.418220,0.460606,0.280277
0.861189,0.365785,0.468038,0.242595
0.891224,0.381644,0.468208,0.228709
0.931272,0.351756,0.676695,0.399340
0.961307,0.253106,0.742809,0.346149
0.991342,0.009866,0.716408,0.070798
1.031389,-0.509846,0.607839,0.041098
1.061425,-0.429074,0.578547,0.004467
1.091460,-0.209420,0.651356,-0.160290
1.131507,-0.388878,0.421476,-0.167308
1.161543,-0.659988,0.194435,-0.195818
1.191578,-0.549040,0.058709,-0.119437
1.231625,-0.988897,-0.274930,-0.186809
1.261660,-0.383360,-0.502770,-0.352526
1.291696,0.461434,-0.998153,-0.465109
1.331743,0.461964,-2.128999,-1.205046
1.361778,-0.988005,-2.314189,-1.566868
1.391813,-1.236351,-2.935184,-1.884484
1.421849,-1.004302,-4.319823,-2.333977
1.461896,-1.161755,-3.647684,-2.346508
1.491931,-0.206953,-3.471081,-2.558438
1.521967,-0.705570,-2.996076,-3.006403
1.562014,-3.119623,-2.822023,-3.360686
