time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.000372,-0.186361,-0.044465,-0.068359
0.030400,0.022490,-0.035123,-0.009704
0.070439,0.053317,-0.020039,0.000632
0.100467,0.024574,-0.012728,0.004037
0.130496,-0.027424,-0.000350,0.033030
0.170534,-0.060476,0.004855,0.026944
0.200563,-0.050969,0.006029,0.018401
0.230592,-0.018034,0.004116,0.010728
0.270630,-0.015902,-0.008646,0.000128
0.300659,-0.022329,0.000934,0.002296
0.330688,-0.018013,0.003033,0.012845
0.370726,-0.027550,-0.008755,0.007630
0.400755,-0.016854,-0.008748,0.016011
0.430784,-0.014758,-0.011901,0.008586
0.470822,-0.032688,-0.017452,0.025664
0.500851,0.017647,-0.037688,0.055956
0.530880,0.066952,-0.052638,0.095781
0.570918,0.120364,-0.040690,0.290098
0.600947,0.162609,-0.003725,0.582934
0.630976,0.461098,0.110287,0.926634
0.671014,1.185448,0.426978,1.045706
0.701043,1.738550,0.607584,1.046557
0.731071,1.829139,0.570834,1.189776
0.771110,1.412443,0.619389,1.275667
0.801138,0.922733,0.632872,1.081669
0.831167,0.245670,0.732558,0.793912
0.871206,-0.749561,0.610780,0.750030
0.901235,-0.205981,0.587131,0.728742
0.931264,0.411153,0.681717,0.682515
0.971302,0.511554,0.759295,0.506012
1.001331,0.329429,0.788292,0.500061
1.031360,0.247071,0.738219,0.391708
1.071398,-0.168457,0.689714,0.254273
1.101427,-0.423757,0.542545,0.124026
1.131456,-0.248941,0.213465,0.034794
1.171494,0.694560,-0.298215,-0.124091
1.201523,1.191064,-0.593081,-0.273054
1.231552,1.788022,-0.964559,-0.576287
1.271590,0.636472,-0.701410,-0.725834
1.301619,-1.217092,-0.358695,-0.339503
1.331648,-2.081072,0.297441,0.062169
1.371686,-1.751155,0.339538,0.120911
1.401715,-0.338168,0.002327,0.017527
1.431743,1.698432,-0.363929,-0.379796
1.471782,2.463063,-1.000171,-0.975418
1.501811,2.147161,-1.236162,-1.331673
1.531839,1.370078,-1.367463,-1.373069
1.571878,-0.292993,-1.240269,-0.559601
1.601906,-2.152964,-1.926869,-0.331927
1.631935,-1.709017,-2.933226,-0.870984
1.671974,0.039697,-3.918923,0.059148
1.702002,0.125502,-4.367191,-0.390279
1.732031,-0.396877,-4.702107,-0.849656
1.772069,-2.310016,-4.878692,-0.621581
1.802098,-2.391026,-4.752988,-0.077979
1.832127,-2.262705,-4.218845,0.340092
1.872165,-1.840005,-3.166153,0.722969
1.902193,-0.742049,-2.909346,0.821058
1.932222,-0.204622,-2.033263,0.265282
1.972260,1.131725,-0.984308,0.323319
2.002289,2.208052,-0.095685,0.476587
2.032318,2.569722,1.067682,0.901225
2.072356,2.476259,2.032025,1.626929
