time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.017094,0.196395,0.054717,0.054314
0.046972,0.074495,0.084937,0.071767
0.086809,-0.015988,0.018080,0.027905
0.116687,-0.058648,0.004358,0.018774
0.146565,-0.047723,-0.028782,0.011097
0.186402,0.005654,-0.019369,0.020091
0.216280,0.016211,0.000870,0.028546
0.246158,0.044718,0.048822,0.043266
0.285995,0.056319,0.073324,0.053850
0.315874,0.039250,0.068051,0.049773
0.355711,0.035961,0.066001,0.034908
0.385589,0.038231,0.043590,0.025235
0.415467,0.037210,0.027627,0.011365
0.455304,0.099209,0.009343,-0.004300
0.485182,0.127003,0.006052,-0.004629
0.515060,0.075758,0.006194,-0.001913
0.554897,0.044677,0.016991,-0.003651
0.584775,0.073517,0.010528,-0.011450
0.614653,0.068198,0.007342,-0.012463
0.654490,0.022323,0.010631,-0.001287
0.684368,0.016989,0.004271,-0.008694
0.714246,0.012762,-0.003185,-0.011861
0.754083,-0.004214,-0.021272,-0.019171
0.783961,-0.011650,-0.022341,-0.014833
0.813839,-0.024648,-0.001987,-0.014620
0.853676,0.011563,0.013910,-0.008601
0.883554,0.085198,0.013729,-0.016894
0.913432,0.131167,0.008245,-0.017438
0.953269,0.084707,-0.058922,-0.027757
0.983147,-0.059252,-0.082014,-0.026179
1.013025,-0.190599,-0.071007,-0.009742
1.052862,-0.470575,0.034047,0.102328
1.082740,-0.451717,0.049133,0.069174
1.122577,-0.007369,0.080660,0.119509
1.152455,0.130280,0.111133,0.141436
1.182333,0.392915,0.080665,0.089384
1.222170,0.499450,0.129130,-0.039369
1.252048,0.501179,0.146422,-0.075512
1.281926,0.248368,0.187057,-0.133137
1.321767,-0.046084,0.277464,-0.278443
1.351644,-0.055132,0.118822,-0.402265
1.381522,0.070203,0.120018,-0.499461
1.421360,0.189851,0.138483,-0.624203
1.451238,0.247366,0.133115,-0.653608
1.481115,0.274454,0.116812,-0.618856
1.520953,0.181278,0.121802,-0.496473
1.550831,0.201774,0.178938,-0.393317
1.580709,0.465360,0.046328,-0.133937
1.620546,0.820695,-0.315635,0.582272
1.650424,0.935289,-0.502353,0.847446
1.680302,1.212917,-0.265520,0.992907
1.720139,0.672048,-1.070447,1.266848
1.750017,-0.055060,-0.682050,1.028480
1.779895,0.399898,-0.702540,0.387971
1.819732,0.180694,-0.579802,0.354691
1.849610,0.072563,-0.541042,0.366693
1.889447,-0.188417,-0.630557,0.207766
1.919325,0.415971,-0.605711,0.060367
1.949203,0.743923,-0.611014,0.065104
1.979081,0.657531,-0.500647,0.070697
2.018918,-0.022829,-0.355429,0.097039
2.048796,-0.101638,-0.257910,0.101440
2.088633,0.139322,-0.219041,0.093480
2.118511,0.393820,-0.153405,0.070552
2.148389,0.431758,-0.096849,0.070294
2.178267,0.410780,-0.101319,0.119466
2.218104,0.055825,-0.058535,0.119413
2.247982,-0.158303,-0.134756,0.098219
2.277860,-0.273885,-0.141661,0.054833
2.317697,-0.157402,-0.218537,-0.033994
2.347575,-0.235464,-0.244778,-0.082127
2.387412,-0.295246,-0.160977,-0.123741
2.417290,0.004220,-0.143089,-0.038802
2.447168,-0.115712,-0.092571,-0.019181
2.487005,-0.069550,-0.029430,-0.056753
2.516883,0.100452,-0.052392,-0.058774
2.546761,0.122775,-0.049196,-0.069660
2.586598,0.052246,-0.037267,-0.060302
2.616476,0.063837,-0.022316,-0.063580
2.646354,-0.046347,-0.002729,-0.064384
