time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.006473,-0.056132,-0.005838,0.030085
0.036507,-0.101982,-0.035789,-0.011882
0.076552,-0.042345,-0.029138,0.003516
0.106585,0.027598,-0.026401,-0.031972
0.136619,0.132099,-0.034564,-0.003173
0.176664,0.053257,0.008743,0.017566
0.206698,-0.001237,0.037386,0.008475
0.236731,0.018888,0.043954,0.001963
0.276776,0.031757,0.035421,0.009269
0.306810,0.026604,0.016097,0.015662
0.336843,-0.023509,0.024438,0.006538
0.366877,-0.055592,0.032923,-0.010140
0.406922,-0.044937,0.017005,-0.021867
0.436952,-0.023447,-0.002217,-0.008279
0.466985,-0.001060,0.005311,0.005300
0.507030,-0.000083,0.018161,0.004233
0.537064,0.020175,0.013974,0.007246
0.567097,0.006445,0.004238,0.012649
0.607142,0.015038,-0.003236,0.017872
0.637176,-0.007450,0.004219,0.003235
0.667210,-0.039489,0.010539,-0.009210
0.707255,-0.034108,0.005193,-0.005019
0.737288,-0.035211,0.012670,-0.003952
0.767322,-0.006479,0.019202,0.003226
0.807367,-0.027069,0.080069,0.003388
0.837400,-0.132677,0.169134,0.040215
0.867434,-0.144731,0.285357,0.093226
0.907479,-0.413297,0.641861,0.338792
0.937513,-0.447756,0.612680,0.708451
0.967546,1.198094,0.373505,0.525933
1.007591,1.594782,0.532934,0.350228
1.037625,0.923206,0.862787,0.746141
1.067659,0.913316,0.907697,0.740926
1.107703,1.424319,0.719219,0.174831
1.137737,0.142806,1.054325,0.214717
1.167771,-0.162741,1.202622,0.007594
1.207816,0.043393,1.028518,-0.028976
1.237849,0.202260,0.875983,0.039613
1.267883,0.521455,0.711808,0.055057
1.307928,0.327287,0.539005,-0.026992
1.337961,0.046835,0.544601,0.032408
1.367995,-0.133213,0.557691,0.005273
1.408040,-0.681445,0.643227,-0.126872
1.438074,-0.856797,0.558066,-0.178383
1.468107,-0.664631,0.575541,-0.064558
1.508152,0.218368,0.525084,0.053261
1.538186,0.718033,0.694974,0.009030
1.568219,1.109867,0.525613,0.063053
1.608264,1.556294,-0.163792,0.007649
1.638298,1.803595,-1.197509,-0.078953
1.668332,1.707803,-2.429315,-0.269694
1.708376,2.921500,-6.252248,-1.395839
1.738410,-2.612656,-6.780480,-2.537940
1.768444,-5.217886,-6.456807,-1.805839
1.808489,-4.631925,-6.857721,-0.972262
1.838522,-4.273123,-6.378377,-1.716040
1.868556,-5.156499,-5.038073,-0.894062
1.908601,-6.966731,-2.379830,-0.009686
1.938634,-5.248425,-1.180952,0.191342
1.968668,-2.116221,-0.399872,0.347195
2.008713,1.350082,-0.051777,-0.477568
2.038747,4.550347,1.361317,-0.218569
2.068780,6.073277,2.644579,-0.347258
2.108825,5.616931,4.330396,-0.366971
2.138859,5.010757,5.553260,0.136331
2.168892,3.694214,5.525553,0.168048
2.208937,3.378897,5.906414,-0.467660
2.238971,3.368964,6.351751,0.180138
2.269004,1.616504,5.281940,1.595553
2.309049,-2.545097,4.531060,0.298524
2.339083,-3.146888,2.648908,0.339425
2.369117,-1.993602,0.343795,-0.621201
2.399150,-2.956591,-0.111444,-1.217810
2.439195,-0.766336,0.050182,-0.319850
2.469229,-1.216316,0.922902,-0.153295
2.509274,-0.053925,1.832150,-0.147835
2.539307,-0.048635,2.383731,-0.420972
2.569341,0.918421,1.885256,-0.091066
2.609386,0.455833,0.871696,0.092619
2.639419,0.251396,-1.219333,0.181150
2.669453,1.481418,-3.255565,-0.064626
2.709498,1.354408,-3.508410,0.409508
2.739531,2.135725,-4.238430,1.352670
2.769565,2.854699,-5.376508,1.082366
2.809610,0.734304,-4.904177,0.849548
2.839644,-1.062375,-4.082272,1.126385
2.869677,-1.100053,-2.806070,1.285383
2.909722,0.936430,-1.416885,0.912317
2.939756,1.384428,-0.082605,0.753077
2.969789,0.081703,0.973635,1.290544
3.009834,1.536165,-1.257011,1.021812
3.039868,0.091431,-0.206955,-0.191234
3.069901,0.179613,-0.021670,-0.497827
3.109946,-1.660478,0.420826,0.381605
3.139980,-0.017707,0.168953,-0.706878
3.170013,0.133610,0.318520,-0.536637
3.210058,-0.665090,0.064109,-0.584203
3.240092,-1.365568,-0.655520,-1.449618
3.270126,-1.351966,-1.881408,-1.811639
3.300159,-1.555437,-1.361630,-1.088206
3.340204,-1.218049,-1.204593,-0.923690
3.370238,-0.856351,-0.679407,-0.758328
3.400271,0.287312,-0.243262,-0.202327
3.440320,0.565720,0.415232,-0.570797
3.470354,-1.033022,-0.856160,-1.231067
3.500387,-3.163262,0.740758,0.254979
3.540432,-1.088553,-0.185316,-0.059007
3.570466,3.078413,-0.086692,-0.397216
3.600499,1.862692,-0.423005,-0.369466
3.640544,-0.595613,0.397551,0.062964
3.670578,-0.383930,0.330458,-0.149350
3.700612,0.598388,0.154644,-0.087357
3.740656,-0.129062,0.680798,-0.355681
3.770690,-0.827425,0.929508,-0.362799
3.800724,-0.778747,0.848975,-0.622493
3.840768,-0.828956,0.663589,-0.969236
3.870802,-1.244146,0.702965,-1.132080
3.900836,-1.496752,0.712514,-1.345971
3.940880,-2.228996,0.596840,-1.805794
3.970914,-3.615837,0.818594,-1.868782
4.000948,-4.196987,0.836238,-1.597410
4.040990,-3.284699,0.510918,-1.642806
4.071023,-2.082365,0.310146,-1.325383
4.111068,-0.157052,0.194059,-1.442409
4.141102,-0.946331,0.386601,-1.266751
4.171135,-1.472434,0.539621,-1.217032
4.211180,-1.878566,0.602755,-1.584221
4.241214,-2.190634,0.770436,-1.642058
4.271247,-2.314152,0.811370,-1.623078
4.311292,-2.156768,0.757377,-1.223203
4.341326,-1.227922,0.555208,-0.921582
4.371359,-0.748473,0.093511,-0.920108
4.411404,-1.432278,-0.088805,-1.813202
4.441434,-3.615023,-0.042069,-1.606263
4.471467,-5.097917,-0.331364,-1.105387
4.511512,-4.440409,-0.662923,-1.233413
4.541550,-4.394304,-0.022075,-1.371406
4.571584,-3.413039,0.202962,-1.255446
4.601617,-1.793608,0.948874,-1.600795
4.641662,-1.065619,1.686137,-1.499766
4.671696,-1.241186,1.747087,-1.300442
4.701729,-1.431170,1.819106,-1.175091
4.741774,-2.370392,1.784582,-0.738912
4.771808,-2.443698,1.825749,-0.537231
4.801841,-1.851639,1.784812,-0.486936
4.841886,-0.481807,1.728807,-0.426995
4.871920,0.460357,1.109551,0.038592
4.901954,0.686499,0.640501,0.318338
4.941998,-0.274043,0.854456,0.513360
4.972032,0.176432,0.402728,-0.271326
5.002066,-1.041602,-0.094739,0.042219
5.042110,-2.003892,0.270604,-0.029470
5.072144,-0.296975,0.365510,0.146303
5.102178,-0.030672,0.296414,0.136765
5.142222,0.217388,0.547352,0.085020
5.172256,0.816975,0.575553,0.208281
5.202290,1.003853,0.568351,0.152806
5.232323,1.463899,-0.364327,0.003107
5.272368,0.816408,-3.224511,-0.666821
5.302402,1.260794,-4.867274,-1.404829
5.332435,-1.948239,-5.865346,-1.483851
5.372480,-4.444256,-5.875045,-1.250056
5.402514,-3.340035,-6.164015,-0.591039
5.432547,-1.852668,-5.590442,-1.567186
5.472592,-3.902624,-4.743956,-2.041902
5.502626,-6.323659,-3.500495,-0.925006
5.532659,-6.921183,-2.350061,-0.466223
5.572704,-4.531309,-2.024668,0.069215
5.602738,-0.524601,-0.707754,-0.196858
5.632772,2.928767,0.451103,-0.477540
5.672816,4.120681,1.991300,-0.404611
5.702850,4.939631,3.393974,-0.394308
5.732884,5.475108,5.077386,-0.359521
5.772928,4.218568,5.837201,0.585075
5.802962,3.964459,7.102263,2.030705
5.832996,3.009188,8.440918,2.003364
5.873040,12.082742,5.872651,0.584513
5.903074,10.269289,-3.743852,1.037699
5.933108,-4.013600,-0.770782,0.526467
5.973152,-9.926590,-2.359172,0.093406
6.003186,-0.105305,-6.439626,1.720006
6.033220,3.322322,-6.004382,2.891690
6.073264,5.863068,-6.339064,1.448861
6.103298,2.329357,-5.341151,0.073685
6.133332,-0.820481,-4.016081,0.486229
6.173376,-0.546457,-2.114794,1.051241
6.203410,1.040022,-1.834566,0.903041
6.233444,4.597486,-4.966435,0.129582
6.273489,-4.517828,-3.916238,-1.660224
6.303522,-7.390971,-2.788203,0.263625
6.333556,-4.602449,-2.392462,0.672033
6.373601,1.361037,-0.687728,-0.389777
6.403634,2.979049,0.860363,-0.528767
6.433668,3.050422,1.869748,-0.376980
6.473713,1.189981,2.685306,0.358655
6.503746,-1.133497,3.022670,0.323275
6.533780,-0.421412,3.316994,-0.113213
6.573825,1.675366,3.684175,-0.379813
6.603858,1.728002,3.420712,0.066423
6.633892,1.492777,3.466517,0.239767
6.673937,0.518483,3.716363,0.325881
6.703970,0.043630,3.612283,0.477867
6.734004,-0.015242,3.596610,0.715421
6.774049,0.332837,3.945195,1.057653
6.804082,1.563920,4.425755,1.073168
6.834116,3.385796,4.110340,0.743184
6.874161,2.323243,2.422087,0.327363
6.904194,0.653044,-0.226682,0.390621
6.934228,-2.751838,-0.784562,0.230591
6.974273,-6.102634,0.055509,-0.533230
7.004306,-2.112629,0.033108,-1.184359
7.034340,1.714721,0.021072,0.009546
7.074385,2.465592,0.624833,-0.082230
7.104418,1.562216,1.187146,0.230857
7.134452,0.326483,1.853877,-0.036577
7.174497,-0.157117,2.725465,-0.418003
7.204530,1.319113,2.637949,-0.534608
7.234564,2.036219,2.074242,-0.257732
7.274608,1.486098,0.488871,0.285480
7.304642,1.263636,-1.286235,-0.399551
7.334676,1.028425,-2.480580,-0.718302
7.374720,-1.943739,-1.689655,-0.624675
7.404754,-2.286991,-2.362852,0.344428
7.434787,2.875790,-3.308825,1.677973
7.474831,4.261909,-2.938769,1.708127
7.504865,3.017465,-2.312641,1.072442
7.534899,2.788270,-2.792929,1.031966
7.574943,2.533555,-2.140662,0.329080
7.604977,1.365296,-1.983216,0.129928
7.635011,0.296269,-1.632747,0.297235
7.675055,0.144586,-1.183067,0.455071
7.705089,0.737346,-0.779045,0.696909
7.735123,1.594184,-0.026301,0.830774
7.775167,0.636442,0.237579,0.559016
7.805201,-0.543792,0.022288,0.597059
7.835235,5.427236,-1.735667,-0.338689
7.875279,-4.637556,-0.236884,0.309175
7.905313,-4.030631,0.863900,1.217657
7.935346,0.323015,0.054984,-0.307410
7.975391,0.603421,0.292184,-0.005907
8.005425,0.217444,0.591996,0.132645
8.045465,-0.889495,0.430544,0.355318
8.075499,-0.507313,0.423709,0.239008
8.105533,0.389686,0.393105,0.095290
8.145577,0.469060,0.436452,0.075600
8.175611,-0.211415,0.549373,0.071521
8.205645,-0.578593,0.508309,0.161253
8.245689,-0.298740,0.524361,-0.116173
8.275723,-0.240816,0.594197,-0.289160
8.305757,-0.333029,0.644338,-0.348753
8.345801,-0.241891,0.747136,-0.458503
8.375835,-0.054459,0.504591,-0.340394
8.405869,0.940814,-0.190005,-0.104901
8.445913,1.443362,-1.328257,0.163138
8.475947,0.848189,-1.668825,0.392304
8.505980,0.129601,-1.633654,0.648901
8.536015,0.556511,-1.597726,0.577741
8.576060,0.357982,-1.321565,0.727494
8.606094,0.823779,-1.007585,0.532176
8.636127,0.817755,-0.508246,0.571360
8.676172,0.508639,0.144293,0.302854
8.706206,-0.380132,0.374940,0.280328
8.736239,-0.100408,-0.288886,0.443230
8.776284,0.025503,-0.096230,0.366007
8.806318,-0.223119,-0.271137,0.405051
8.836351,0.551457,-0.230556,-0.295467
8.876396,1.336395,-0.126020,-0.067854
8.906430,0.162889,-0.249584,-0.506149
8.936463,-0.757322,-0.197218,-0.619437
8.976508,-0.347227,0.004586,-0.362366
9.006542,0.284468,0.097408,-0.457396
9.036575,0.242538,0.296547,-0.343821
9.076620,-0.205190,0.627991,-0.184666
9.106654,-0.212647,0.805516,-0.180381
