time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.025777,-0.094117,0.034107,-0.128627
0.055655,0.066441,0.213375,-0.152250
0.085534,0.310152,0.288683,-0.178216
0.125371,0.510694,0.290378,-0.210302
0.155250,0.580247,0.240149,-0.255946
0.185128,0.531365,0.141342,-0.348267
0.224966,0.413745,-0.456145,-0.526486
0.254844,0.348191,-0.727801,-0.475512
0.284722,0.082125,-0.888859,-0.396357
0.324560,-0.404526,-1.269196,-0.377075
0.354438,-0.537043,-1.474242,-0.347470
0.394276,-0.617358,-1.642178,-0.288554
0.424154,-0.393624,-1.571292,-0.274936
0.454033,-0.202501,-1.655476,-0.236957
0.493870,0.189147,-1.880006,-0.263431
0.523749,0.634230,-2.250227,-0.472924
0.553627,0.969087,-2.249815,-0.542731
0.593465,1.342988,-2.262980,-0.084202
0.623343,2.198561,-2.686511,-0.153858
0.653221,2.366399,-2.587836,-0.309758
0.693059,1.883155,-2.161956,0.319577
0.722937,0.892038,-1.601075,0.579552
0.752816,-0.636533,-0.304997,-0.395866
0.792653,0.330454,-0.935442,1.004114
0.822532,1.588232,-0.376115,-0.158772
0.852410,2.228404,-0.255721,-0.245535
0.892248,0.821456,-0.022273,0.303341
0.922126,0.138040,0.024870,0.070850
0.952004,0.106991,-0.071892,-0.218515
0.991842,-0.134163,0.544423,-0.159553
1.021720,0.574519,1.977227,-0.983555
1.051599,1.129616,3.508059,-2.265154
1.091436,3.416307,5.835200,-1.234929
1.121315,7.231248,7.258691,-1.069898
1.161153,2.838652,6.929992,0.349898
1.191031,1.108334,6.313008,-1.086741
1.220909,4.664870,4.961499,-0.509282
1.260747,3.967220,4.849891,0.383643
1.290625,-0.068230,3.010845,0.069807
1.320504,-0.954183,0.674757,-1.497879
1.360341,-0.644649,-1.680147,-1.189599
1.390220,-2.370348,-3.150265,-1.223373
1.420098,-4.098075,-4.762244,-1.118181
1.459936,-4.852889,-5.690261,-0.899632
1.489814,-3.504310,-5.458099,0.126266
1.519692,-1.755655,-5.873377,1.023184
1.559530,-1.434332,-6.367589,1.898973
1.589408,-3.391042,-7.214390,2.623138
1.619287,-10.041423,-4.178417,2.548213
1.659124,-9.971944,-2.284717,2.087306
1.689003,-5.168226,-1.561338,1.016231
1.718881,-2.787503,-0.270814,-1.586233
1.758719,4.740131,0.301817,-0.164045
1.788597,-0.341863,5.061932,-0.843145
1.818475,-4.200545,6.697850,0.187253
1.858313,-1.898475,7.558697,0.459367
1.888192,-0.817003,8.378288,1.153933
1.928029,-0.166020,7.896892,0.002188
1.957908,-0.940954,6.530963,0.753741
1.987786,-2.167170,4.978060,1.332186
2.027624,-1.583150,2.068446,0.619427
2.057502,-0.324586,4.737274,-0.928420
2.087380,-0.753057,3.764524,0.700353
2.127218,-1.051652,2.228023,-1.373784
2.157097,-2.439020,1.381271,-0.174137
2.186975,-4.185989,-1.346093,0.789649
2.226813,-2.237476,-3.536552,1.409509
2.256691,0.008930,-3.047698,1.489569
2.286569,1.750331,-2.975083,0.900578
2.326407,3.448582,-3.692473,0.917169
2.356285,2.689376,-4.188110,-0.164192
2.386164,1.106181,-4.530276,-0.669559
2.426001,0.720990,-4.135875,0.196897
2.455880,3.397593,-4.376231,0.227179
2.485758,4.347921,-4.516515,-0.286379
2.525596,2.541905,-4.035989,0.479589
2.555474,-3.306629,0.805383,-1.589678
2.585353,1.874148,-0.074335,0.647564
2.625190,3.265684,-0.183923,-0.267839
2.655073,2.408249,0.143822,-0.282521
2.684951,-0.124617,0.501437,-1.145094
2.724789,0.776912,0.630013,0.116498
2.754667,1.476290,0.438689,0.307921
2.794505,0.393819,0.503493,-0.001871
2.824383,-0.610216,0.562660,-0.097645
2.854262,-1.414471,0.695780,0.065211
2.894099,-0.768393,1.136219,-0.294073
2.923978,0.307017,0.828710,-0.391422
2.953856,0.124141,0.886539,-0.506189
