time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.002959,0.066343,0.010665,0.065089
0.037088,0.244469,-0.021913,-0.047469
0.067123,0.378209,-0.073990,0.016025
0.107170,0.047001,0.017112,0.043017
0.137205,-0.087312,-0.002531,-0.014118
0.167240,-0.051044,-0.034342,-0.028166
0.207287,-0.021444,0.001093,-0.023113
0.237322,0.023299,0.014049,-0.002304
0.267357,0.016028,0.007474,0.016806
0.307403,0.025373,0.011979,-0.011846
0.337438,0.018981,0.008760,-0.016029
0.367474,0.042534,-0.007203,-0.008808
0.397509,0.040310,0.003509,-0.013024
0.437555,-0.008695,0.020330,-0.008399
0.467590,-0.048853,0.000730,0.012034
0.497626,-0.009470,-0.021423,-0.004157
0.537672,-0.006412,-0.010650,-0.013707
0.567707,-0.024637,-0.002115,-0.026262
0.597743,-0.042802,-0.002144,-0.037759
0.637789,-0.016214,0.002263,-0.034797
0.667824,0.025502,-0.014734,-0.017138
0.697859,0.035338,-0.052150,-0.012981
0.737906,0.006887,-0.112127,-0.027568
0.767941,-0.055887,-0.116713,-0.033415
0.797976,-0.024811,-0.197611,-0.072821
0.838023,0.038102,-0.197400,-0.051099
0.868058,0.108354,-0.180030,-0.029436
0.898093,0.154357,-0.214057,-0.022394
0.938140,0.255868,-0.178928,-0.078246
0.968175,0.245529,-0.146402,-0.158603
0.998210,0.200594,-0.022073,-0.236571
1.038257,0.297299,0.122042,-0.274397
1.068292,0.458416,0.172360,-0.311676
1.098327,0.695474,0.146120,-0.358026
1.138374,1.008213,-0.130673,-0.301248
1.168409,1.021968,-0.247583,-0.415659
1.198444,1.050781,-0.136988,-0.456115
1.238491,0.417242,-0.334491,-0.565336
1.268526,0.265099,-0.525767,-0.738744
1.298561,0.071254,-0.724093,-0.493749
1.338608,0.222657,-0.762796,-0.326675
1.368643,0.419421,-0.814758,-0.225584
1.398678,0.476100,-0.910329,-0.115959
1.438725,0.246034,-0.743200,-0.009343
1.468760,-0.217677,-0.829272,0.534160
1.498795,-0.013421,-0.755817,0.601316
1.538842,-0.024281,-0.077530,0.412974
1.568877,0.402904,-0.084694,0.039112
1.598912,0.489841,-0.013742,0.060639
1.638959,0.304287,0.012396,0.170081
1.668994,0.082564,-0.012885,0.081894
1.699029,0.287402,-0.024138,0.005107
1.739076,0.326167,0.108385,-0.113751
1.769110,0.564895,0.233502,-0.242677
1.799145,0.774705,0.549104,-0.230615
1.839192,0.270222,1.128202,-0.208609
1.869227,-0.452957,1.521503,-0.440975
1.899262,-0.650357,1.756114,-0.318747
1.939309,-0.101473,2.058889,-0.355970
1.969344,0.832879,1.999468,0.402828
1.999379,1.692503,2.106199,0.512360
2.039426,1.905812,2.316209,0.474655
2.069461,1.154975,2.451665,0.924133
2.099496,0.403335,2.644830,0.854999
2.139542,1.138497,2.924664,0.359056
2.169578,2.523946,3.129590,0.450611
2.199613,2.932600,3.283203,1.066493
2.239659,1.888712,3.542929,1.400830
2.269694,1.078133,3.398207,1.425324
2.299730,0.344502,2.898045,1.033269
2.339776,0.567113,1.779444,-0.071311
2.369811,0.893102,0.417085,-0.757581
2.399847,0.038317,-0.583222,-0.818421
2.439893,-1.545272,-1.792453,-0.779213
2.469928,-2.417143,-2.372629,-0.628257
2.499963,-2.965811,-2.714667,-0.291506
2.540010,-2.959826,-2.744564,0.232355
2.570045,-2.759659,-2.494489,0.631872
2.600080,-2.446687,-1.966556,0.829376
2.640127,-1.910423,-1.304607,0.828222
2.670162,-1.554236,-1.014449,0.757616
2.700197,-1.222865,-0.776265,0.590897
2.740244,-0.646588,-0.469774,0.670937
2.770280,-0.266871,-0.363392,0.758912
2.800315,-0.029892,-0.478801,0.773953
2.840362,-0.082581,-0.819878,0.693954
2.870397,-0.287640,-1.116874,0.617290
2.900432,-0.723730,-1.433046,0.495909
2.940479,-1.467964,-1.432405,0.249972
2.970514,-1.573624,-1.441192,0.192607
3.000549,-1.328994,-1.582273,0.213939
3.040596,-0.279125,-1.442588,0.176944
3.070631,0.426313,-1.226374,0.088726
3.100666,0.852575,-1.298134,0.132943
3.140713,2.071176,-1.594707,0.561372
3.170748,1.042139,0.848715,0.703911
3.200783,-0.770284,0.483418,0.563924
3.240830,1.174029,1.162032,-0.386254
3.270865,-0.960741,1.225376,-0.756528
3.300900,-0.374105,1.887568,-0.400347
3.330935,0.562423,2.181432,-0.383522
3.370982,-0.002653,1.574737,-0.346154
3.401017,-1.235430,1.715111,-0.962857
3.431052,-0.880452,1.767179,-1.113879
3.471099,0.861932,1.091383,-0.659993
3.501134,1.422939,1.105015,-0.286639
3.531169,0.500038,1.118626,-0.362859
3.571216,-0.622950,1.069373,-0.660796
3.601251,0.109701,0.892076,-0.403115
3.631286,0.308750,0.771890,-0.340142
3.671333,0.007836,0.575562,-0.344071
3.701368,-0.152987,0.332684,-0.132149
3.731403,-0.022021,-0.006778,0.039338
3.771452,0.126062,-0.444127,0.137663
3.801487,0.095181,-0.766393,0.150627
3.831523,0.150880,-0.999309,0.150192
3.871569,0.272293,-1.203995,0.140762
3.901604,0.294236,-1.305540,0.145884
3.931640,0.169595,-1.332664,0.096080
3.971686,0.037552,-1.342840,0.067504
4.001721,0.108831,-1.374381,0.040474
4.031756,0.076682,-1.320230,-0.096863
4.071803,0.106906,-1.150484,-0.187077
4.101838,0.218008,-1.071691,-0.201731
4.131873,0.260445,-0.985318,-0.293097
4.171920,0.453123,-0.799532,-0.412133
4.201955,0.700844,-0.696064,-0.491386
4.231990,0.858360,-0.557092,-0.508531
4.272037,0.617581,-0.184881,-0.534139
4.302072,0.631302,0.158399,-0.851785
4.332107,1.448753,0.299251,-1.113416
4.372154,1.871411,0.219462,-0.983440
4.402189,0.957888,0.282534,-0.740101
4.432224,-0.106121,0.045144,-0.834229
4.472271,0.603152,-0.231555,-0.964789
4.502306,1.765820,-0.301687,-0.878845
4.532341,2.008740,-0.486913,-0.988739
4.572388,1.534715,-0.455021,-1.205089
4.602423,1.162615,-0.441268,-1.161890
4.632458,1.144204,-0.569547,-1.018852
4.672505,1.198620,-0.717154,-0.974828
4.702540,1.048514,-0.719998,-0.993735
4.732575,0.862546,-0.762525,-0.852534
4.772619,0.944069,-0.740174,-0.584355
4.802654,0.984892,-0.782714,-0.413219
4.832689,0.734256,-0.836425,-0.250331
4.872735,0.458847,-0.948383,-0.031147
4.902770,0.337776,0.446468,-0.282146
4.932806,0.517009,-0.415434,0.696539
4.972852,2.451105,-1.092520,1.182759
5.002887,2.731057,-0.659247,0.379286
5.032922,2.192682,-0.639250,-0.226040
5.072969,1.156471,-0.393369,0.280756
5.103004,-0.124061,-0.416489,0.294191
5.133039,-1.231654,-0.410759,0.116787
5.173086,-1.457773,-0.440052,0.156702
5.203121,-1.025560,-0.424299,0.065391
5.233156,-0.360732,-0.422796,0.063240
5.273203,0.222665,-0.364835,0.027869
5.303238,0.187610,-0.230075,0.002742
5.333273,-0.150025,-0.075271,-0.071824
5.373320,-0.402335,-0.008515,-0.192580
5.403355,-0.272625,-0.004559,-0.198912
5.433390,-0.013293,0.025774,-0.204166
5.473437,0.410787,0.133734,-0.159941
5.503472,0.360562,0.275035,-0.218816
5.533507,0.313435,0.462188,-0.250200
5.573554,0.091591,0.717783,-0.257961
5.603589,-0.039266,0.568259,-0.241029
5.633624,0.165654,0.236022,-0.135756
5.673671,0.401685,-0.240988,-0.121747
5.703706,0.453587,-0.792335,-0.187756
5.733741,0.488309,-1.165788,0.033190
5.773790,0.614548,-0.585793,0.650255
5.803825,-1.879365,-0.859167,-0.264318
5.833861,-1.506606,0.419562,0.023692
5.873907,-0.166949,0.407063,-0.236823
5.903942,-0.115269,0.586493,-0.140931
5.933977,-0.159855,0.954970,-0.255958
5.974024,1.371735,0.769673,-0.604791
6.004059,2.284975,0.372535,-0.274458
6.034094,0.523220,0.785259,-0.234962
6.064129,-0.858173,1.084757,-0.058799
6.104176,-0.257500,1.425345,-0.110198
6.134211,-0.032749,1.863501,0.169513
6.174258,0.935677,1.897769,-0.198103
6.204293,2.501961,2.455600,-0.097431
6.234328,3.850486,2.378039,0.849621
6.264363,3.400954,2.838388,1.624773
6.304410,2.149484,3.264508,1.326784
6.334445,2.648066,3.552375,1.232811
6.364480,3.118679,2.990263,1.553997
6.404527,1.458039,2.222644,0.857154
6.434562,0.702572,1.286719,0.149892
6.464597,-0.676502,0.323288,-0.464526
6.504644,-2.596449,-0.860216,-0.735911
6.534679,-3.200799,-1.695390,-0.282266
6.564714,-3.404984,-2.211604,0.330092
6.604760,-3.105307,-2.459481,0.370040
6.634795,-2.149339,-2.408082,0.516905
6.664830,-1.268841,-2.071967,0.924726
6.704877,-0.114970,-1.303694,1.410774
6.734912,-0.308811,-0.337436,2.083305
6.764947,-0.774454,0.017176,2.287055
6.804994,-0.290644,0.419633,2.160385
6.835029,0.882176,0.515348,2.779673
6.865064,0.337354,0.680959,3.205273
6.905111,-1.136563,0.328275,2.350269
6.935146,-2.096754,0.021151,1.677427
6.965181,-2.180085,-0.446420,0.907603
7.005228,-1.687592,0.982047,0.957564
7.035263,-0.237898,0.720890,0.695122
7.065298,0.170487,-0.174894,-0.114606
7.105345,-0.547721,-0.727424,-0.325796
7.135380,-1.641584,-0.657249,-0.004808
7.165415,-2.492619,-0.681921,0.121611
7.205461,-2.530827,-1.265029,-0.080209
7.235496,-1.443933,-1.504843,-0.483688
7.265531,0.948488,-2.278411,-0.257268
7.305578,3.253315,-2.574034,-0.417544
7.335613,1.626695,-2.730188,-1.181370
7.365648,-1.312780,-2.247130,-1.098573
7.405695,-3.978359,-1.888917,-0.295078
7.435730,-3.327634,-1.875549,-0.325693
7.465765,-2.514942,-1.596875,-0.385138
7.505812,-0.209817,-1.483852,0.163690
7.535847,1.223069,-1.194526,-0.035141
7.565882,1.565756,-0.891039,-0.198778
7.605929,2.662509,-0.902891,0.096196
7.635964,3.299407,-1.079046,0.960048
7.665999,1.131572,-1.051545,1.000700
7.706045,0.509980,-0.251778,-0.009365
7.736080,0.431925,-0.500706,-0.135735
7.766112,-0.076817,-0.432865,0.038739
7.806159,-0.050393,-0.527278,-0.069424
7.836194,0.079176,-0.700610,0.050204
7.866229,0.374949,-0.788429,-0.020957
7.906276,0.021742,-0.874376,-0.102795
7.936311,-0.217068,-0.910333,-0.209895
7.966346,-0.134698,-0.938096,-0.320628
8.006393,-0.024894,-0.853787,-0.363847
8.036428,0.331964,-0.768362,-0.368828
8.066463,-0.117630,-0.398075,-0.441449
8.106509,-1.017084,1.592919,-0.728577
8.136544,-0.272298,2.357691,-1.090204
8.166579,1.024985,2.295823,-0.306795
8.206626,0.151317,2.517526,0.451657
8.236661,0.079916,2.674734,0.572879
8.266696,0.248256,2.741099,0.366197
8.306743,0.481669,1.950116,0.638492
8.336778,0.285424,1.433997,0.714178
8.366813,-0.503552,1.184391,0.236823
8.406860,-1.273105,0.793275,-0.175060
8.436895,-1.362915,1.165462,-0.061110
8.466930,-2.000197,-0.501604,0.115540
8.506976,-0.231996,0.242830,-0.556988
8.537011,0.399784,0.261680,-0.098472
8.567046,1.000456,0.245322,0.140148
8.607093,0.879837,0.200186,-0.110782
8.637128,0.093574,0.021822,0.014067
8.667163,-0.665769,-0.151503,0.038152
8.707210,-0.442988,-0.243261,0.021554
8.737245,-0.176337,-0.435796,0.255450
8.767280,0.167574,-0.552168,0.349015
8.807327,0.257914,-0.751509,0.312316
8.837362,0.100891,-0.885730,0.252193
8.867397,-0.028841,-0.938615,0.211958
8.907442,-0.063246,-1.035173,0.225997
8.937478,0.041200,-1.067762,0.225162
8.967513,0.146265,-1.170048,0.250786
8.997548,0.274727,-1.153171,0.229646
9.037594,0.278596,-1.115720,0.056036
9.067630,0.253279,-0.984388,-0.100411
9.097665,0.289025,-0.935946,-0.117634
9.137712,0.406995,-0.658843,-0.190565
9.167746,0.468483,-0.668052,-0.380510
9.197782,0.796911,-0.777614,-0.365143
9.237828,1.214320,-0.649849,0.110961
9.267864,0.896935,-0.723306,0.294494
9.297898,0.469059,-0.689387,0.138102
9.337945,0.122938,-0.647296,0.118646
9.367979,-0.020473,-0.661014,0.134614
9.398015,-0.002046,-0.659082,0.185269
9.438062,0.080078,-0.651372,0.222713
9.468097,0.142470,-0.540049,0.268777
9.498131,0.324035,-0.501528,0.254620
9.538179,0.171509,-0.303168,0.220905
9.568214,0.087822,-0.181700,0.226861
9.598249,0.251992,-0.126989,0.173682
9.638295,0.198860,-0.033834,0.112716
9.668330,0.080218,-0.015901,0.048044
9.698365,0.181848,-0.001093,-0.008866
9.738412,0.275440,-0.004825,-0.014907
9.768447,0.228056,0.023084,-0.072741
9.798482,0.256428,0.028859,-0.117421
9.838529,0.482937,0.050369,-0.108653
9.868564,0.270630,0.020102,-0.072024
9.898599,0.060124,0.033753,-0.042819
9.938646,-0.189870,0.113128,-0.125492
9.968680,-0.256161,0.131149,-0.157773
9.998716,-0.209826,0.062787,-0.133797
10.038762,-0.298773,0.059823,-0.078048
10.068797,-0.398691,0.221874,-0.075138
10.098832,-0.403514,0.363715,-0.182005
10.138879,-0.068208,0.291923,-0.214323
10.168914,0.074959,0.235767,-0.175248
10.198949,0.207228,0.227660,-0.130796
10.238996,0.456532,0.173351,-0.124324
10.269031,0.482353,0.096626,-0.150987
10.299066,0.263894,-0.004103,-0.143940
10.339112,-0.024193,-0.135506,-0.081296
10.369147,0.042666,-0.223179,-0.029966
10.399182,0.143986,-0.257970,-0.023367
10.439229,0.081680,-0.210964,-0.068381
10.469264,-0.037874,-0.149541,-0.072719
10.499299,-0.039494,0.004158,-0.015560
10.539345,0.063132,0.127567,0.014305
10.569380,-0.084752,0.041655,-0.064944
10.599415,-0.113586,-0.096589,-0.052005
10.639462,0.126899,-0.139892,0.072020
10.669497,0.101355,-0.215423,0.154783
10.699532,0.071594,-0.311226,0.224881
10.739579,-0.015995,-0.696150,0.286989
10.769618,0.171112,-0.633757,-0.129406
10.799653,0.198065,-0.450898,0.084166
10.839698,0.073985,-0.258530,0.005771
10.869734,-0.144458,-0.184909,0.018101
10.899769,-0.806493,0.037112,-0.141716
10.939816,-0.991453,0.548294,-0.275735
10.969850,-1.027854,1.377552,-0.331580
10.999886,-0.606021,2.055218,-0.557257
11.039932,-0.247635,2.979082,-0.510430
11.069968,0.685210,3.093482,0.339394
11.100002,2.513461,3.427824,0.129985
11.140049,3.598890,3.399584,1.526845
11.170083,2.577265,3.397878,1.769994
11.200119,1.405977,3.517778,1.408933
11.240166,1.645122,3.641180,1.034454
11.270201,2.200063,3.667275,1.463950
11.300235,2.267252,3.856128,1.959792
11.340283,0.336124,3.321391,1.428098
11.370318,-1.058593,2.578788,0.902700
11.400352,-1.052064,1.655990,-0.047749
11.440399,-0.797335,-0.010950,-0.850915
11.470434,-1.245994,-1.173638,-0.937227
11.500469,-1.916044,-2.196959,-0.918048
11.540516,-2.592628,-3.154212,-0.861777
11.570551,-2.650958,-3.650252,-0.973475
11.600586,-2.045946,-3.925085,-0.800497
11.640632,-1.331557,-4.651727,-0.297094
11.670666,-0.464142,-4.467720,-0.221498
11.700702,-0.047084,-3.910497,-0.173005
11.730737,-1.158057,-1.762581,0.462361
11.770779,-3.011301,1.560146,1.112083
11.800814,-0.906493,2.101709,0.324678
11.830849,0.997590,2.607371,0.159105
11.870896,1.259530,3.057619,0.595161
11.900931,1.361077,3.316906,1.502442
11.930965,1.123004,3.590884,1.623934
11.971012,1.917583,3.735556,1.593218
12.001047,2.244018,3.781663,2.221407
12.031082,1.605371,3.625449,2.178903
12.071129,0.448216,2.499853,1.514029
12.101164,0.160806,1.166849,-0.152698
12.131199,-0.813374,-0.014157,-0.865604
12.171245,-1.188418,-1.590415,-1.136646
12.201280,-1.353483,-2.233129,-0.974415
12.231315,-1.909086,-2.586433,-0.726514
12.271362,-2.284298,-2.893825,-0.653638
12.301397,-1.788716,-3.028913,-0.336907
12.331432,-0.802490,-3.148781,0.028813
12.371478,-0.165212,-2.970444,0.654504
12.401513,-0.559392,-2.556166,0.786766
12.431548,-1.568218,-2.135977,0.802237
12.471595,-1.570059,-1.585038,1.332482
12.501630,-0.675754,-1.361475,1.788885
12.531665,0.036043,-1.199036,2.104928
12.571712,0.191870,-0.938228,2.106842
12.601746,-0.951539,-0.727628,2.161503
12.631781,-1.876715,-0.081981,2.473702
12.671828,-2.510760,0.996347,2.969826
12.701863,-2.426383,1.685454,3.023094
12.731898,-2.283751,2.187043,3.177511
12.771946,-1.014592,2.877624,3.348294
12.801981,-0.512754,2.934841,3.362264
12.832016,-1.057121,2.761096,2.944332
12.872062,-1.370917,2.411132,2.331934
12.902097,-0.926743,1.988323,1.888102
12.932132,-0.572752,1.151037,1.261910
12.972179,0.086224,-0.340421,0.465022
13.002214,0.659687,-0.880990,0.150343
13.032249,-0.013377,-1.457234,-0.167047
13.072295,-1.759039,-2.308088,-0.622949
13.102330,-2.122530,-2.900462,-0.648584
13.132365,-1.720665,-3.080657,-0.387194
13.172412,-1.050635,-2.999073,-0.183003
13.202447,-0.599100,-2.754734,-0.198276
13.232482,-0.352476,-2.506528,-0.153694
13.272528,-0.148632,-2.093423,0.004470
13.302563,-0.105194,-1.880365,0.016813
13.332598,-0.102594,-1.674472,0.115213
13.372645,-0.355999,-1.663945,0.091841
13.402680,-0.440915,-1.623212,0.002555
13.432715,-0.585895,-1.420641,-0.013228
13.472761,-1.018880,-1.237958,-0.007651
13.502796,-0.695858,-1.117925,-0.104443
13.532831,-0.426964,-0.943878,0.016169
13.572878,-0.296140,-0.863345,0.084971
13.602913,-0.215875,-0.525386,-0.001419
13.632948,-0.429346,0.000504,0.059535
13.672994,0.597871,-0.321808,0.326505
13.703029,2.259865,-0.504846,1.131342
13.733064,2.437117,-0.439843,0.980684
13.773110,-0.401522,-0.587342,0.168357
13.803145,-0.647000,-0.466375,0.463494
13.833180,-0.418460,-0.553014,0.665938
13.873226,-1.063323,-0.597970,0.442493
13.903261,-0.522844,-0.558014,0.338671
13.933296,-0.492407,-0.560539,0.429450
13.973343,-0.375959,-0.534944,0.371362
14.003378,-0.252779,-0.509615,0.362965
14.033413,-0.614802,-0.505964,0.317179
14.073459,-1.319478,-0.454203,0.145011
14.103494,-1.395553,-0.364907,-0.005735
14.133529,-1.118721,-0.195644,0.029082
14.173576,-0.638523,0.072312,0.026280
14.203611,-0.001073,0.259199,-0.226502
14.233646,0.430393,0.238496,-0.305104
14.273692,-0.556661,0.554242,-0.159620
14.303727,-1.483448,1.102309,-0.163864
14.333762,-1.832661,1.314259,-0.321954
14.373809,-0.316274,0.944582,-0.271639
14.403844,0.535201,0.901068,-0.092180
14.433879,0.429444,0.733045,-0.001360
14.473925,0.022080,0.734122,0.159605
14.503960,-0.115014,0.698297,0.298297
14.533995,-0.096666,0.511036,0.321444
14.574042,-0.100906,0.188729,0.189194
14.604077,-1.209728,2.360378,0.090013
14.634111,-4.272408,-1.580953,0.521172
14.664146,1.650608,0.996630,-0.379480
14.704193,0.729846,0.657992,0.295764
14.734228,-0.100763,0.517115,0.197644
14.764264,-0.159067,0.848032,-0.086615
14.804310,-0.996375,0.833246,0.185752
14.834345,-1.324619,0.780910,0.052910
14.864380,-0.678843,0.853373,-0.024239
14.904427,0.311597,0.737527,0.035569
14.934462,0.530089,0.709620,0.070864
14.964497,0.073778,0.718810,0.085103
15.004543,-0.561317,0.646073,-0.135244
15.034578,-0.407459,0.502674,-0.166105
15.064613,-0.003769,0.440716,0.005300
15.104660,-0.034579,0.256575,-0.000794
15.134695,-0.149914,0.126664,-0.028440
15.164730,-0.150027,-0.008232,-0.012557
15.204776,0.175711,-0.195919,0.004952
15.234811,0.217890,-0.386612,0.086121
15.264846,0.071461,-0.612101,0.090480
15.304893,-0.044728,-0.873998,0.127410
15.334928,0.024536,-0.988500,0.194598
15.364963,0.164421,-1.077582,0.191365
15.405009,0.263510,-1.170821,0.131306
15.435044,0.342107,-1.193699,0.093633
15.465079,0.329313,-1.193744,0.089502
15.505126,0.310603,-1.229338,0.120347
15.535161,0.147029,-1.207174,0.023225
15.565195,0.144534,-1.209000,-0.030733
15.605242,0.161840,-1.100762,-0.045695
15.635277,0.061483,-0.971175,0.017549
15.665312,0.167127,-0.859305,0.012463
15.705358,0.659156,-0.763779,-0.124842
15.735393,0.938846,-0.651673,-0.188476
15.765428,0.906097,-0.468107,-0.144828
