time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.014006,0.253505,0.058149,-0.021876
0.053843,-0.022148,0.006231,0.048155
0.083720,-0.053797,0.036571,-0.009909
0.113598,-0.026906,0.003422,-0.025218
0.153435,-0.016863,-0.044724,-0.025484
0.183312,-0.019271,-0.009465,-0.018961
0.213190,0.020532,-0.035290,-0.010986
0.253027,-0.068924,-0.033085,0.028351
0.282905,-0.110039,-0.106644,0.010503
0.312782,-0.021881,-0.170009,0.012486
0.352619,0.024956,-0.226061,0.071360
0.382497,-0.048557,-0.321292,0.127234
0.412374,-0.115706,-0.395269,0.204382
0.452211,-0.341333,-0.472704,0.217366
0.482089,-0.480615,-0.526912,0.236881
0.511966,-0.429639,-0.515170,0.210796
0.551803,-0.276629,-0.643033,0.240563
0.581681,0.055570,-0.756397,0.255552
0.621518,-0.006329,-0.988307,0.269367
0.651395,-0.175880,-1.094990,0.322050
0.681273,-0.662254,-0.959630,0.280167
0.721110,-0.766142,-1.044061,0.128936
0.750988,-0.396710,-1.074587,0.229946
0.780865,-0.579336,-0.929856,0.263350
0.820702,-0.185110,-0.923985,0.137550
0.850580,0.090990,-0.653082,0.107569
0.880457,0.188309,-0.342021,0.068060
0.920294,0.398930,-0.278308,0.029668
0.950172,0.302875,0.017460,-0.039594
0.980050,0.477033,0.350633,-0.058634
1.019887,0.843058,0.185651,-0.006953
1.049764,0.284888,0.208032,-0.076032
1.079642,-0.215407,0.641375,-0.045530
1.119479,-0.994589,1.144441,-0.098864
1.149356,-0.581627,1.366753,-0.322092
1.179234,-0.013455,2.010774,-0.717086
1.219071,0.162376,2.961624,-1.078957
1.248949,1.252202,4.524530,-1.446193
1.278826,2.535913,4.425320,-1.421848
1.318663,1.884821,4.583933,-1.315997
1.348541,1.698300,4.908418,-1.303265
1.378418,1.740418,4.755538,-1.740482
1.418255,3.855384,3.771206,-0.812305
1.448133,4.145075,3.298824,-0.003119
1.487970,4.957918,3.169091,0.611746
1.517847,2.818338,2.816366,1.018217
1.547725,0.096896,1.493201,0.659017
1.587562,-2.151054,-0.558139,0.027162
1.617439,-2.719088,-1.843224,-0.078888
1.647316,-3.299394,-2.924757,-0.457616
1.687153,-3.044033,-3.681818,-0.191588
1.717031,-2.278097,-4.343837,0.208276
1.746909,-1.585237,-4.785977,0.520287
1.786745,-0.984588,-6.324962,1.051236
1.816623,-1.340588,-7.568630,0.467261
1.846501,-0.110263,-5.151364,1.441779
1.886338,-4.387782,0.875801,2.746113
1.916215,3.109928,1.027738,-2.054092
1.946093,3.531003,2.453959,-3.699446
1.985930,0.656281,4.057416,-1.126936
2.015808,-1.894088,5.604122,-1.587631
2.045685,3.486133,5.058581,-2.639499
2.085522,4.411659,3.666867,-0.200804
2.115400,4.479058,3.392558,0.075277
2.145277,3.938272,1.956161,0.466410
2.185114,1.150619,1.246281,-0.174207
2.214992,-0.722360,0.273852,-0.011078
2.254829,-3.040657,-1.502837,0.038653
2.284707,-3.729812,-2.966189,-0.053799
2.314584,-3.794516,-4.447130,0.398771
2.354421,-3.259421,-5.990129,1.326280
2.384299,-3.758819,-6.540420,2.363457
2.414176,-5.848744,-7.993993,1.424159
2.454013,-13.987066,-0.109452,1.285726
2.483891,-1.149735,-0.575482,5.002766
2.513769,-0.185850,1.638587,-2.029297
2.553606,4.023319,-1.576548,0.604388
2.583483,-0.932714,-0.429167,0.007217
2.613361,-2.705623,-0.915229,0.138802
2.653198,-4.892639,-0.962390,-0.198051
2.683076,-1.951681,-1.834846,0.324124
2.712953,-0.738264,-1.851943,0.635757
2.752790,-2.287535,-1.104062,-0.185793
2.782668,-2.392387,-1.179274,-0.463604
2.812546,-2.994066,-0.837814,-0.387539
2.852383,-2.836041,0.814860,-0.406514
2.882260,-2.283527,1.868353,-0.374431
2.912138,-2.458915,2.898212,0.307535
2.951975,-1.765330,2.863636,0.176049
2.981853,-1.111028,3.027080,0.640430
3.011730,-0.908313,2.949878,0.971971
3.051567,-1.930892,2.754490,1.105444
3.081445,-2.130692,2.549384,0.981534
3.111323,-2.066267,2.167114,0.844465
3.151160,-0.974556,1.523996,0.507533
3.181037,0.040904,0.970905,0.379244
3.220874,0.064754,0.706907,0.549452
3.250752,-0.574915,0.192900,0.660512
3.280630,-0.968982,-0.462283,0.431015
3.320466,-1.496498,-1.248794,0.038775
3.350344,-1.904207,-0.890100,0.386128
3.380222,-2.298499,-0.659074,0.194525
3.420059,-2.255789,-0.492981,0.100921
3.449936,-1.420612,-0.560843,0.322031
3.479814,-0.282093,-0.450161,0.778568
3.519651,1.642605,0.976871,0.961020
3.549529,1.514747,0.718951,0.671195
3.579407,0.556181,0.502979,0.001586
3.619247,-0.291473,-0.139114,0.599829
3.649125,-1.464721,-0.070586,0.448566
3.679003,-1.142854,0.026909,0.632453
3.718840,-2.439600,1.456046,0.452822
3.748718,-1.520541,2.742187,-0.255944
3.778595,-0.002906,2.633211,0.067875
3.818432,-1.003307,2.731338,0.697854
3.848310,-1.581829,3.085994,0.282110
3.888147,-2.208024,2.673947,0.312469
3.918025,-1.938023,2.405631,0.551133
3.947902,-1.532511,3.357592,0.660129
3.987739,-2.752175,2.278792,-0.276265
4.017617,-2.094272,3.864860,-1.139639
4.047495,-0.635236,3.139674,0.709812
4.087332,0.118882,2.600419,0.337705
4.117209,-2.603016,2.191254,-0.594268
4.147087,-1.660901,1.701851,-0.590640
4.186924,-0.297170,1.206296,0.138064
4.216802,-0.512221,0.519809,-0.343631
4.246679,0.149294,0.093974,-0.064195
4.286516,0.527060,-0.770154,0.157534
4.316394,0.583806,-0.846373,0.386476
4.346272,1.048235,-1.166299,0.566356
4.386109,0.840159,-1.483366,0.796515
4.415986,0.715523,-1.998863,0.483501
4.445864,1.065456,-2.561490,0.318121
4.485701,1.408929,-3.032984,0.109475
4.515579,0.990823,-2.943967,-0.311068
4.545457,0.172286,-2.942731,-0.682607
4.585294,0.979706,-2.359459,-0.846446
4.615168,1.807387,-1.930764,-0.293842
4.655005,3.587189,-2.018343,-0.329413
4.684883,4.152777,-2.550502,-0.313092
4.714761,3.521630,-3.237899,-0.582534
4.754598,2.122928,-3.380754,-0.869136
4.784475,1.771422,-3.204872,-0.968831
4.814353,0.945172,-3.150068,-1.151779
4.854190,-0.015895,-3.245750,-1.104886
4.884068,-0.620308,-2.736030,-0.897386
4.913945,0.006559,-2.056317,-0.178896
4.953782,2.259788,-0.544219,0.515051
4.983660,2.556873,0.677731,-0.028246
5.013538,2.004578,1.487226,0.075321
5.053375,1.662354,1.040147,0.504521
5.083253,0.048389,0.746251,-0.216342
5.113130,0.061039,0.760936,0.238966
5.152967,-2.029019,0.746575,-0.088255
5.182845,-0.316866,-0.049200,-0.016739
5.212723,0.373788,-0.306211,0.063918
5.252560,0.293915,-0.386855,-0.007774
5.282438,0.837838,-0.232085,-0.068853
5.312315,0.698301,-0.027751,-0.212386
5.352152,0.219633,0.393115,-0.466269
5.382030,0.978662,0.468575,-0.413018
5.411908,1.820458,0.338137,-0.088968
5.451745,0.945042,0.423121,-0.085052
5.481622,0.417574,0.794503,-0.049113
5.521459,0.059289,1.757950,-0.259049
5.551337,1.148423,0.923993,-0.292236
5.581215,3.200289,-0.642093,-0.128074
5.621052,3.288973,-0.486529,-0.688285
5.650930,2.576482,-0.346984,-0.989316
5.680807,2.335087,-0.324988,-0.965199
5.720644,0.578504,-0.421274,-1.360341
5.750522,0.603397,-0.772078,-1.766060
5.780400,0.764981,-0.635266,-1.850478
5.820237,1.517132,-0.371713,-1.775278
5.850114,3.144640,-1.605396,-2.155316
5.879992,4.090084,-1.929484,-2.073533
5.919829,4.023380,-1.071289,-1.956227
5.949707,4.446690,-0.785306,-1.684597
5.979585,3.110397,-0.558306,-0.966305
6.019422,-0.135374,-0.716954,0.185510
6.049299,-0.992594,-0.911384,0.447967
6.079177,-2.201509,-0.453978,0.584557
6.119014,1.335728,-0.016575,2.387231
6.148892,-0.887484,0.279613,0.822908
6.178770,0.892547,-0.388825,0.223703
6.218607,1.412809,-0.559126,0.792849
6.248484,-0.014407,-0.600442,0.530301
6.288321,-0.785342,-0.375974,0.381299
6.318199,-0.206660,-0.234490,0.386815
6.348077,0.658793,-0.634087,0.233061
6.387914,0.356374,-0.206080,0.146362
6.417792,0.309502,0.338554,0.099661
6.447669,1.123829,-0.250573,0.027831
6.487506,0.832290,-0.194740,-0.050584
6.517384,0.227318,0.003680,-0.018555
6.547262,-0.062768,0.314386,-0.172797
6.587099,-0.551435,0.810445,-0.078390
6.616980,-0.834657,2.820911,0.033307
6.646857,-2.137691,6.116067,-2.015233
6.686694,5.993006,5.377079,-3.870659
6.716572,4.688186,6.606985,-0.097928
6.746450,2.565595,6.226952,-2.042193
6.786287,1.988170,5.688903,-2.072375
6.816165,3.753642,4.541736,-1.085373
6.846042,3.470744,2.894425,-1.201147
6.885879,1.832767,1.759810,-0.627311
6.915757,-0.024255,0.585322,-0.887421
6.945635,-1.665248,-1.122942,-1.027189
6.985472,-2.311575,-2.641203,-0.868127
7.015350,-1.782673,-3.689674,-0.651901
7.045228,-2.025771,-4.422868,-0.773777
7.085065,-1.915846,-3.787502,0.956013
7.114942,-2.785945,-4.116460,0.575518
7.144820,-3.144940,-3.372867,0.900110
7.184657,-3.212278,-2.777066,1.508186
7.214535,-2.070617,-2.693965,2.533860
7.254372,-1.449715,0.657388,-0.137736
7.284250,3.701146,2.051169,-0.182829
7.314128,4.483994,1.074858,-0.214015
7.353965,2.079308,1.483037,0.219161
7.383843,-0.245609,2.027440,-0.293015
7.413720,-1.691035,2.248023,-0.532189
7.453557,-0.297485,2.124438,-0.409160
7.483435,0.172858,1.680068,-0.154191
7.513313,1.028421,1.519674,-0.038944
7.553150,-0.835858,1.846550,0.903840
7.583028,-1.127791,1.991103,-0.190446
7.612906,-0.846851,1.372341,-0.213695
7.652739,-0.012254,1.192863,0.086875
7.682617,-0.061118,1.048374,-0.061983
7.712494,0.046501,0.434347,0.337064
7.752331,-0.723348,-0.043239,0.511444
7.782209,-0.433072,-0.381701,0.657085
7.812087,-0.035680,-0.885345,0.634991
7.851924,-0.009871,-1.288878,0.292938
7.881802,0.158201,-1.566356,0.298654
7.911680,0.147886,-1.764941,0.248140
7.951517,0.227857,-1.961305,0.129564
7.981395,0.373252,-2.104973,0.118935
8.021232,0.359157,-2.217885,0.249619
8.051110,0.256871,-2.323962,0.147247
8.080987,0.072350,-2.282161,0.235680
8.120824,-0.797018,-2.331545,0.167815
8.150702,-1.047289,-2.258294,0.210283
8.180580,-1.080819,-2.422767,0.397422
8.220417,-1.354901,-2.453026,0.414301
